date,Feature 1,date
1987-08-01,-1.1592044163194268,1987-08-01
1987-09-01,-2.3861732935045605,1987-09-01
1987-10-01,-0.17613536623331572,1987-10-01
1987-11-01,2.6197832980018525,1987-11-01
1987-12-01,-0.43471904252790183,1987-12-01
1988-01-01,1.1807910727316173,1988-01-01
1988-02-01,1.9141997770926178,1988-02-01
1988-03-01,-0.42446333820809895,1988-03-01
1988-04-01,-1.2679676838847223,1988-04-01
1988-05-01,-1.4209074180573338,1988-05-01
1988-06-01,0.3556673778566221,1988-06-01
1988-07-01,-0.585541463775438,1988-07-01
1988-08-01,-0.936792923603662,1988-08-01
1988-09-01,0.9177681203611716,1988-09-01
1988-10-01,0.6482698219131566,1988-10-01
1988-11-01,-0.8339914568505931,1988-11-01
1988-12-01,-0.9957661797798912,1988-12-01
1989-01-01,-0.024116143047527003,1989-01-01
1989-02-01,-0.31143178699574836,1989-02-01
1989-03-01,-0.7314157064785626,1989-03-01
1989-04-01,0.7972639216352907,1989-04-01
1989-05-01,1.4154168115535017,1989-05-01
1989-06-01,2.2379840668518147,1989-06-01
1989-07-01,1.784255074059941,1989-07-01
1989-08-01,-0.7774066258962457,1989-08-01
1989-09-01,-0.28098773668481725,1989-09-01
1989-10-01,0.9680986019207268,1989-10-01
1989-11-01,0.8177644948459745,1989-11-01
1989-12-01,0.2461136277403836,1989-12-01
1990-01-01,-1.2825327942459928,1990-01-01
1990-02-01,-0.9383050092732026,1990-02-01
1990-03-01,-0.6103765106350871,1990-03-01
1990-04-01,-0.44033730047974695,1990-04-01
1990-05-01,0.30312725139012914,1990-05-01
1990-06-01,1.143902325716978,1990-06-01
1990-07-01,0.4818215673832349,1990-07-01
1990-08-01,-0.20679662773303922,1990-08-01
1990-09-01,-0.19818279650319787,1990-09-01
1990-10-01,0.8396860292392947,1990-10-01
1990-11-01,1.3016943112462798,1990-11-01
1990-12-01,1.2682998508926786,1990-12-01
1991-01-01,0.4979493555987595,1991-01-01
1991-02-01,1.234152330952829,1991-02-01
1991-03-01,-0.987071088598852,1991-03-01
1991-04-01,0.547296889225235,1991-04-01
1991-05-01,0.3082405179115275,1991-05-01
1991-06-01,-0.8613559539101017,1991-06-01
1991-07-01,0.21941901886313225,1991-07-01
1991-08-01,2.0777779831556877,1991-08-01
1991-09-01,1.2935950122927817,1991-09-01
1991-10-01,1.1793873852074503,1991-10-01
1991-11-01,1.375926702806975,1991-11-01
1991-12-01,2.3235394903652433,1991-12-01
1992-01-01,0.33458414983493967,1992-01-01
1992-02-01,-1.392044730877084,1992-02-01
1992-03-01,-1.7328633860680842,1992-03-01
1992-04-01,1.1014638572910316,1992-04-01
1992-05-01,0.6320694853743951,1992-05-01
1992-06-01,0.9200177033955894,1992-06-01
1992-07-01,3.2480824069736203,1992-07-01
1992-08-01,1.3433720114701546,1992-08-01
1992-09-01,1.5842676793176036,1992-09-01
1992-10-01,-1.0977553760972327,1992-10-01
1992-11-01,-2.4301144811056563,1992-11-01
1992-12-01,0.0390951780438574,1992-12-01
1993-01-01,1.441619650185672,1993-01-01
1993-02-01,2.038289764938134,1993-02-01
1993-03-01,1.3450221804080693,1993-03-01
1993-04-01,0.593415655261333,1993-04-01
1993-05-01,-0.5189652941758459,1993-05-01
1993-06-01,-0.2544425901592372,1993-06-01
1993-07-01,0.8624274139040481,1993-07-01
1993-08-01,0.6876720541157115,1993-08-01
1993-09-01,1.6585424840529421,1993-09-01
1993-10-01,0.15989749137789522,1993-10-01
1993-11-01,-2.2518419443066366,1993-11-01
1993-12-01,-0.2080235028872141,1993-12-01
1994-01-01,0.4662041029358215,1994-01-01
1994-02-01,-1.884712483206786,1994-02-01
1994-03-01,-3.190104263649089,1994-03-01
1994-04-01,-2.920385540514065,1994-04-01
1994-05-01,-1.4665947427450459,1994-05-01
1994-06-01,0.4674853537035165,1994-06-01
1994-07-01,-0.9061063462792518,1994-07-01
1994-08-01,0.16319525632270088,1994-08-01
1994-09-01,-0.8839444402047466,1994-09-01
1994-10-01,-1.3675362107319025,1994-10-01
1994-11-01,-1.325733803142982,1994-11-01
1994-12-01,-0.48949546090879203,1994-12-01
1995-01-01,0.2845964094970076,1995-01-01
1995-02-01,1.6441568606282997,1995-02-01
1995-03-01,1.4694949693103312,1995-03-01
1995-04-01,0.9526659137420865,1995-04-01
1995-05-01,2.072490545725967,1995-05-01
1995-06-01,2.3881591268887776,1995-06-01
1995-07-01,-0.35370172725607907,1995-07-01
1995-08-01,-0.9884286269562843,1995-08-01
1995-09-01,1.319844317877702,1995-09-01
1995-10-01,0.8143366495424718,1995-10-01
1995-11-01,0.9996849382509523,1995-11-01
1995-12-01,1.1538313711791341,1995-12-01
1996-01-01,0.927542104340503,1996-01-01
1996-02-01,-0.021006567936023124,1996-02-01
1996-03-01,-3.161030180555623,1996-03-01
1996-04-01,-1.4115513461086575,1996-04-01
1996-05-01,-0.7791077953344456,1996-05-01
1996-06-01,-0.8319158744220834,1996-06-01
1996-07-01,0.3010906154837625,1996-07-01
1996-08-01,1.2597701132052144,1996-08-01
1996-09-01,-0.8867478862053442,1996-09-01
1996-10-01,1.6572384440237808,1996-10-01
1996-11-01,1.5322609188222458,1996-11-01
1996-12-01,-0.37308885373956246,1996-12-01
1997-01-01,-1.2069510431976147,1997-01-01
1997-02-01,0.7951831619105607,1997-02-01
1997-03-01,-1.5260076385910897,1997-03-01
1997-04-01,-0.9455864751194061,1997-04-01
1997-05-01,0.9819659235545576,1997-05-01
1997-06-01,1.0877945096446568,1997-06-01
1997-07-01,1.3374708430124664,1997-07-01
1997-08-01,-0.21031109807309545,1997-08-01
