date,GS1,GS1_CHG,GS2,GS2_CHG,GS3,GS3_CHG,GS5,GS5_CHG,GS7,GS7_CHG,GS10,GS10_CHG
1963-11-01,3.74,0.027472527472527597,,,3.95,0.02067183462532296,4.01,0.010075566750629594,,,4.12,0.0024330900243307862
1963-12-01,3.81,0.018716577540106805,,,4.01,0.015189873417721378,4.04,0.007481296758104827,,,4.13,0.0024271844660193054
1964-01-01,3.79,-0.005249343832021025,,,4.04,0.007481296758104827,4.07,0.007425742574257432,,,4.17,0.009685230024213176
1964-02-01,3.78,-0.0026385224274406704,,,4.0,-0.00990099009900991,4.03,-0.009828009828009798,,,4.15,-0.004796163069544224
1964-03-01,3.91,0.03439153439153442,,,4.12,0.030000000000000027,4.14,0.027295285359801413,,,4.22,0.016867469879517927
1964-04-01,3.91,0.0,,,4.15,0.00728155339805836,4.15,0.0024154589371983004,,,4.23,0.0023696682464455776
1964-05-01,3.84,-0.017902813299232823,,,4.04,-0.026506024096385583,4.05,-0.024096385542168752,,,4.2,-0.007092198581560294
1964-06-01,3.83,-0.0026041666666666297,,,4.01,-0.007425742574257432,4.02,-0.007407407407407418,,,4.17,-0.0071428571428572285
1964-07-01,3.72,-0.028720626631853707,,,3.93,-0.01995012468827917,4.03,0.0024875621890549926,,,4.19,0.004796163069544557
1964-08-01,3.74,0.005376344086021501,,,3.93,0.0,4.05,0.004962779156327368,,,4.19,0.0
1964-09-01,3.84,0.026737967914438387,,,4.01,0.020356234096692072,4.08,0.007407407407407529,,,4.2,0.0023866348448686736
1964-10-01,3.86,0.005208333333333259,,,4.02,0.0024937655860348684,4.07,-0.002450980392156854,,,4.19,-0.0023809523809523725
1964-11-01,3.91,0.012953367875647714,,,4.04,0.004975124378109541,4.04,-0.0073710073710073765,,,4.15,-0.009546539379474916
1964-12-01,4.02,0.028132992327365658,,,4.08,0.00990099009900991,4.09,0.012376237623762387,,,4.18,0.0072289156626503814
1965-01-01,3.94,-0.01990049751243772,,,4.03,-0.01225490196078427,4.1,0.0024449877750609694,,,4.19,0.0023923444976077235
1965-02-01,4.03,0.022842639593908753,,,4.08,0.012406947890818865,4.15,0.012195121951219745,,,4.21,0.004773269689737347
1965-03-01,4.06,0.007444168734491052,,,4.13,0.01225490196078427,4.15,0.0,,,4.21,0.0
1965-04-01,4.04,-0.004926108374384119,,,4.12,-0.002421307506053183,4.15,0.0,,,4.2,-0.002375296912113911
1965-05-01,4.03,-0.0024752475247524774,,,4.11,-0.0024271844660194164,4.15,0.0,,,4.21,0.0023809523809523725
1965-06-01,3.99,-0.00992555831265507,,,4.08,-0.007299270072992803,4.15,0.0,,,4.21,0.0
1965-07-01,3.98,-0.0025062656641604564,,,4.09,0.002450980392156854,4.15,0.0,,,4.2,-0.002375296912113911
1965-08-01,4.07,0.022613065326633208,,,4.16,0.017114914425427896,4.2,0.012048192771084265,,,4.25,0.011904761904761862
1965-09-01,4.2,0.03194103194103182,,,4.24,0.019230769230769162,4.25,0.011904761904761862,,,4.29,0.009411764705882453
1965-10-01,4.3,0.023809523809523725,,,4.33,0.021226415094339535,4.34,0.021176470588235352,,,4.35,0.013986013986013957
1965-11-01,4.37,0.016279069767441978,,,4.45,0.02771362586605086,4.46,0.02764976958525356,,,4.45,0.02298850574712663
1965-12-01,4.72,0.08009153318077789,,,4.79,0.07640449438202235,4.72,0.058295964125560484,,,4.62,0.038202247191011285
1966-01-01,4.88,0.033898305084745894,,,4.9,0.022964509394572064,4.86,0.029661016949152685,,,4.61,-0.0021645021645021467
1966-02-01,4.94,0.012295081967213184,,,5.02,0.024489795918367196,4.98,0.024691358024691468,,,4.83,0.04772234273318876
1966-03-01,4.97,0.006072874493926905,,,4.97,-0.009960159362549792,4.92,-0.012048192771084487,,,4.87,0.008281573498964745
1966-04-01,4.9,-0.014084507042253391,,,4.89,-0.01609657947686116,4.83,-0.018292682926829285,,,4.75,-0.024640657084188944
1966-05-01,4.93,0.006122448979591688,,,5.0,0.02249488752556239,4.89,0.012422360248447228,,,4.78,0.006315789473684275
1966-06-01,4.97,0.008113590263691739,,,5.05,0.010000000000000009,4.97,0.01635991820040905,,,4.81,0.006276150627614996
1966-07-01,5.17,0.04024144869215296,,,5.26,0.04158415841584162,5.17,0.04024144869215296,,,5.02,0.043659043659043606
1966-08-01,5.54,0.07156673114119916,,,5.68,0.07984790874524705,5.5,0.06382978723404253,,,5.22,0.03984063745019917
1966-09-01,5.82,0.05054151624548742,,,5.79,0.019366197183098732,5.5,0.0,,,5.18,-0.007662835249042099
1966-10-01,5.58,-0.04123711340206193,,,5.48,-0.05354058721934363,5.27,-0.041818181818181865,,,5.01,-0.03281853281853275
1966-11-01,5.54,-0.007168458781361964,,,5.53,0.009124087591240837,5.36,0.01707779886148031,,,5.16,0.029940119760479167
1966-12-01,5.2,-0.06137184115523464,,,5.19,-0.061482820976491825,5.0,-0.0671641791044777,,,4.84,-0.06201550387596899
1967-01-01,4.75,-0.08653846153846156,,,4.75,-0.08477842003853575,4.7,-0.05999999999999994,,,4.58,-0.05371900826446274
1967-02-01,4.71,-0.008421052631578996,,,4.73,-0.004210526315789331,4.74,0.008510638297872353,,,4.63,0.01091703056768556
1967-03-01,4.35,-0.07643312101910837,,,4.47,-0.05496828752642724,4.54,-0.04219409282700426,,,4.54,-0.01943844492440605
1967-04-01,4.11,-0.055172413793103336,,,4.38,-0.020134228187919434,4.51,-0.0066079295154185536,,,4.59,0.011013215859030812
1967-05-01,4.15,0.009732360097323589,,,4.61,0.05251141552511429,4.75,0.053215077605321515,,,4.85,0.05664488017429181
1967-06-01,4.48,0.07951807228915664,,,4.89,0.06073752711496727,5.01,0.054736842105263195,,,5.02,0.035051546391752675
1967-07-01,5.01,0.11830357142857117,,,5.06,0.03476482617586907,5.23,0.043912175648702645,,,5.16,0.02788844621513964
1967-08-01,5.13,0.0239520958083832,,,5.23,0.03359683794466428,5.31,0.015296367112810572,,,5.28,0.023255813953488413
1967-09-01,5.24,0.02144249512670582,,,5.41,0.03441682600382401,5.4,0.016949152542373058,,,5.3,0.0037878787878786735
1967-10-01,5.37,0.024809160305343525,,,5.52,0.020332717190387983,5.57,0.031481481481481444,,,5.48,0.03396226415094361
1967-11-01,5.61,0.04469273743016755,,,5.71,0.034420289855072506,5.78,0.037701974865349985,,,5.75,0.0492700729927007
1967-12-01,5.71,0.017825311942959,,,5.71,0.0,5.75,-0.005190311418685201,,,5.7,-0.008695652173912993
1968-01-01,5.43,-0.049036777583187474,,,5.53,-0.031523642732048995,5.54,-0.03652173913043477,,,5.53,-0.029824561403508754
1968-02-01,5.41,-0.0036832412523019054,,,5.61,0.014466546112115841,5.59,0.00902527075812265,,,5.56,0.005424954792043302
1968-03-01,5.58,0.031423290203327126,,,5.8,0.03386809269162194,5.76,0.030411449016100267,,,5.74,0.03237410071942448
1968-04-01,5.71,0.023297491039426577,,,5.75,-0.008620689655172376,5.69,-0.012152777777777679,,,5.64,-0.017421602787456525
1968-05-01,6.14,0.0753064798598948,,,6.11,0.06260869565217386,6.04,0.06151142355008776,,,5.87,0.04078014184397172
1968-06-01,5.98,-0.026058631921824005,,,5.82,-0.04746317512274956,5.85,-0.03145695364238421,,,5.72,-0.02555366269165249
1968-07-01,5.65,-0.05518394648829428,,,5.54,-0.04810996563573888,5.6,-0.042735042735042694,,,5.5,-0.038461538461538436
